playerid,namefirst,namelast,intposition,int,intyards,inttd
19960044,Tory,James,CB,1,23,0
20010097,Anthony,Henry,DB,1,0,0
19940145,Rodney,Harrison,S,1,0,0
20000095,Lewis,Sanders,DB,1,12,0
19930198,Troy,Brown,WR,1,0,0
19970433,Earl,Little,DB,1,28,0
20020026,Lito,Sheppard,CB,1,0,0
20020141,Andra,Davis,LB,1,3,0
19990062,Daylon,McCutcheon,DB,1,-2,0
20030016,Troy,Polamalu,S,1,0,0
20030016,Troy,Polamalu,S,1,0,0
19960098,Donnie,Edwards,LB,1,0,0
19980028,R.W.,McQuarters,CB,1,45,1
19980028,R.W.,McQuarters,CB,1,40,0
20030005,Terence,Newman,CB,1,11,0
19990085,Dat,Nguyen,LB,1,2,0
19990085,Dat,Nguyen,LB,1,19,0
20010097,Anthony,Henry,DB,1,51,0
19990062,Daylon,McCutcheon,DB,1,2,0
20020168,Pete,Hunter,CB,1,2,0
19930430,Robert,Griffith,DB,1,18,0
20030005,Terence,Newman,CB,1,21,0
19990041,Dre',Bly,CB,1,55,1
19930196,Brock,Marion,S,1,12,0
19990041,Dre',Bly,CB,1,30,0
20040586,Lance,Frazier,CB,1,0,0
19960028,Jerome,Woods,S,1,0,0
20020567,Willie,Ford,CB,1,-2,0
20040586,Lance,Frazier,CB,1,2,0
19990087,Mike,McKenzie,CB,1,5,0
20020008,Roy,Williams,S,1,20,0
19990421,Fakhir,Brown,CB,1,0,0
20010078,Will,Peterson,CB,1,9,0
20020026,Lito,Sheppard,CB,1,101,1
20000030,Keith,Bulluck,LB,1,2,0
20010526,Lynn,Scott,S,1,2,0
20030005,Terence,Newman,CB,1,-1,0
19970003,Shawn,Springs,CB,1,38,0
19990030,Patrick,Kerney,DE,1,0,0
19980012,Keith,Brooking,LB,1,12,0
19970438,Kevin,Mathis,CB,1,66,1
20020002,Julius,Peppers,DE,1,97,0
20030082,Ricky,Manning,CB,1,0,0
20020677,Bryan,Pittman,LS,1,9,0
20030128,Bryant,McNeal,DE,1,1,0
19990007,Champ,Bailey,CB,1,0,0
20010107,Monty,Beisel,LB,1,-1,0
19980113,Shawn,Barber,LB,1,10,0
19940407,Jay,Williams,DE,1,0,0
19990031,Al,Wilson,LB,1,10,0
19970419,Sammy,Knight,S,1,0,0
20020017,Phillip,Buchanon,CB,1,37,0
19950015,Ellis,Johnson,DL,1,32,1
19930082,John,Lynch,S,1,2,0
20000091,David,Macklin,CB,1,16,0
19990041,Dre',Bly,CB,1,0,0
20040037,Teddy,Lehman,LB,1,1,0
19990041,Dre',Bly,CB,1,22,0
20000517,James,Hall,DE,1,30,0
19990070,Jared,DeVries,DE,1,4,0
20030068,Lance,Briggs,LB,1,38,1
19970060,Darren,Sharper,S,1,36,1
20040073,Keith,Smith,CB,1,2,0
19940012,Aaron,Glenn,CB,1,23,0
20030202,Waine,Bacon,DB,1,0,0
19980033,Corey,Chavous,S,1,0,0
19930196,Brock,Marion,S,1,24,0
20020105,Brian,Williams,CB,1,14,0
19980020,Terry,Fair,DB,1,1,0
20010045,Fred,Smoot,CB,1,0,0
19970060,Darren,Sharper,S,1,0,0
20000254,Mike,Green,S,1,0,0
20020140,Bobby,Gray,S,1,31,0
20030039,Rashean,Mathis,CB,1,0,0
20030039,Rashean,Mathis,CB,1,0,0
20000057,Deon,Grant,S,1,0,0
19990023,Antoine,Winfield,CB,1,3,0
20010563,Brian,Russell,S,1,14,0
20000140,Ralph,Brown,CB,1,27,0
20020105,Brian,Williams,CB,1,0,0
19970060,Darren,Sharper,S,1,90,1
19990451,Tyrone,Rogers,DE,1,31,0
20040070,Joey,Thomas,CB,1,0,0
19970060,Darren,Sharper,S,1,18,0
20010078,Will,Peterson,CB,1,0,0
19970411,Terry,Cousin,CB,1,6,0
20040025,Ahmad,Carroll,CB,1,0,0
20020041,Lamont,Thompson,S,1,31,0
20020045,Tank,Williams,S,1,13,0
20020041,Lamont,Thompson,S,1,0,0
20020173,Demarcus,Faggins,CB,1,4,0
19980137,Jason,Simmons,CB,1,0,0
19980137,Jason,Simmons,CB,1,2,0
20010233,Marlon,McCree,FS,1,5,0
20040175,Jammal,Lord,S,1,10,0
19940012,Aaron,Glenn,CB,1,0,0
20040010,Dunta,Robinson,CB,1,0,0
20040125,Jason,David,DB,1,1,0
19980051,Kailee,Wong,LB,1,0,0
20020173,Demarcus,Faggins,CB,1,43,1
20040010,Dunta,Robinson,CB,1,25,0
20020173,Demarcus,Faggins,CB,1,0,0
20040010,Dunta,Robinson,CB,1,61,0
19950105,Jerry,Wilson,FS,1,0,0
19980075,Steve,Foley,LB,1,0,0
20000180,Mario,Edwards,CB,1,2,0
20030457,Ronyell,Whitaker,CB,1,0,0
20020173,Demarcus,Faggins,CB,1,22,0
19980156,Scott,McGarrahan,S,1,11,0
20010233,Marlon,McCree,FS,1,24,0
20030058,Mike,Doss,DB,1,32,0
20030198,Cato,June,LB,1,71,0
20020176,Kevin,Thomas,CB,1,15,1
20020097,Coy,Wire,S,1,21,0
20030058,Mike,Doss,DB,1,20,0
20030202,Waine,Bacon,DB,1,6,0
20030058,Mike,Doss,DB,1,0,0
19990464,Kelly,Herndon,CB,1,0,0
20020106,David,Thornton,LB,1,5,0
19980443,Jim,Nelson,LB,1,0,0
20030481,Gary,Brackett,LB,1,0,0
19940012,Aaron,Glenn,CB,1,14,0
20030067,Antwan,Peek,LB,1,20,0
